Split,Week,Game,Team,Player,Champion,KDA,Gold,TeamJungle Kills,EnemyJungle Kills,Jungle Share
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,G2,Wunder,Gragas,13.0,12766,5,4,9
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,G2,Jankos,Olaf,3.33,12771,116,4,120
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,G2,Caps,TwistedFate,inf,14247,16,14,30
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,G2,Rekkles,Sivir,inf,16778,8,12,20
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,G2,Mikyx,Alistar,3.0,8766,0,0,0
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,MAD,Armut,Renekton,1.0,10843,8,0,8
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,MAD,Elyoya,Lillia,2.0,10965,121,9,130
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,MAD,Humanoid,Tristana,1.17,13096,12,3,15
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,MAD,Carzzy,Jhin,1.25,10825,0,0,0
Spring,Week 1,⁠⁠G2 - ⁠⁠MAD,MAD,Kaiser,Leona,2.33,7011,0,0,0
Spring,Week 1,⁠⁠AST - ⁠⁠SK,AST,WhiteKnight,Renekton,0.5,10625,12,0,12
Spring,Week 1,⁠⁠AST - ⁠⁠SK,AST,Zanzarah,Nidalee,1.5,9638,127,14,141
Spring,Week 1,⁠⁠AST - ⁠⁠SK,AST,nukeduck,Orianna,3.0,11716,24,8,32
Spring,Week 1,⁠⁠AST - ⁠⁠SK,AST,Jeskla,Kaisa,0.5,12948,12,4,16
Spring,Week 1,⁠⁠AST - ⁠⁠SK,AST,promisq,Sett,0.2,6690,0,0,0
Spring,Week 1,⁠⁠AST - ⁠⁠SK,SK,Jenax,Gragas,inf,11940,8,0,8
Spring,Week 1,⁠⁠AST - ⁠⁠SK,SK,TynX,Hecarim,inf,11452,106,12,118
Spring,Week 1,⁠⁠AST - ⁠⁠SK,SK,Blue,Viktor,10.0,14078,21,0,21
Spring,Week 1,⁠⁠AST - ⁠⁠SK,SK,Jezu,Aphelios,6.5,13596,20,0,20
Spring,Week 1,⁠⁠AST - ⁠⁠SK,SK,Treatz,Thresh,inf,8231,0,0,0
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,RGE,Odoamne,Kennen,3.0,11005,1,4,5
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,RGE,Inspired,Lillia,inf,11966,150,5,155
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,RGE,Larssen,Lucian,inf,14050,9,11,20
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,RGE,Hans,Kalista,inf,16694,13,12,25
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,RGE,Trymbi,Sett,1.75,7355,0,0,0
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,XL,Kryze,Ivern,2.0,9416,13,0,13
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,XL,Dan,Udyr,2.0,9295,115,1,116
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,XL,Czekolad,Zoe,2.0,10123,8,0,8
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,XL,Patrik,Aphelios,1.67,11648,10,0,10
Spring,Week 1,⁠⁠RGE - ⁠⁠XL,XL,Tore,Thresh,2.5,6474,0,0,0
Spring,Week 1,⁠⁠VIT - ⁠⁠S04,VIT,Szygenda,Renekton,inf,19624,3,0,3
