Split,Week,Game,Team,Player,Champion,KDA,Gold,TDamage,Gold/Damage,TeamJungle Kills,EnemyJungle Kills,Jungle Share
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,MSF,HiRit,Camille,6.0,14901,0.19,2800.08,1,4,5
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,MSF,Shlatan,LeeSin,3.0,13852,0.12,1613.22,111,11,122
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,MSF,Vetheo,Zoe,15.0,13308,0.21,2788.84,7,0,7
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,MSF,Neon,Jinx,8.0,18314,0.45,8189.51,35,5,40
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,MSF,Mersa,Thresh,2.33,8738,0.04,339.85,0,0,0
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,BDS,Adam,Sett,1.0,11818,0.18,2162.46,23,0,23
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,BDS,Cinkrof,Viego,3.0,10332,0.11,1171.41,108,10,118
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,BDS,NUCLEARINT,Ryze,2.5,12557,0.24,2968.73,21,0,21
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,BDS,xMatty,Caitlyn,4.0,17535,0.31,5422.57,14,0,14
Spring,Week 5,⁠⁠BDS - ⁠⁠MSF,BDS,LIMIT,Karma,2.5,7821,0.16,1235.56,1,0,1
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,AST,WhiteKnight,Graves,15.0,15467,0.25,3936.64,35,10,45
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,AST,Zanzarah,JarvanIV,6.67,11811,0.08,900.9,93,4,97
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,AST,Dajor,Vex,17.0,16453,0.37,6021.5,8,4,12
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,AST,Kobbe,Zeri,14.0,17739,0.22,3934.08,24,0,24
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,AST,promisq,Leona,2.8,8924,0.08,726.84,0,0,0
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,RGE,Odoamne,Jayce,1.67,14874,0.2,2908.09,13,4,17
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,RGE,Malrang,LeeSin,0.57,9953,0.15,1532.02,91,0,91
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,RGE,Larssen,Ahri,1.29,12833,0.33,4173.39,4,0,4
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,RGE,Comp,Jinx,2.0,15664,0.29,4515.33,43,0,43
Spring,Week 5,⁠⁠RGE - ⁠⁠AST,RGE,Trymbi,Janna,1.0,6973,0.04,258.63,0,0,0
