Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2023,Elyoya,MAD,Red,Winter,41,Sejuani,113,22.0,19.0,2.0,6.0,0.0,68.0,305.0,88.0,15.0,71.0,11.0,7.818181818181818,4.238636363636363,8.0,5.0,0.5365853658536586,92.45283018867924
2023,Xerxe,XL,Red,Spring,41,Sejuani,113,22.0,19.0,3.0,13.0,5.0,68.0,305.0,88.0,9.0,53.0,28.0,2.2142857142857144,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
2023,Elyoya,MAD,Blue,Winter,41,Sejuani,113,22.0,19.0,2.0,8.0,0.0,68.0,305.0,88.0,15.0,71.0,11.0,7.818181818181818,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
2023,Bo,VIT,Red,Spring,41,Sejuani,113,22.0,19.0,5.0,7.0,0.0,68.0,305.0,88.0,36.0,59.0,19.0,5.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
2023,Bo,VIT,Red,Spring,41,Sejuani,113,22.0,19.0,2.0,13.0,0.0,68.0,305.0,88.0,36.0,59.0,19.0,5.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
2023,Sheo,BDS,Blue,Spring,41,Sejuani,113,22.0,19.0,1.0,7.0,3.0,68.0,305.0,88.0,21.0,82.0,11.0,9.363636363636363,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
2023,Sheo,BDS,Red,Spring,41,Sejuani,113,22.0,19.0,2.0,14.0,1.0,68.0,305.0,88.0,21.0,82.0,11.0,9.363636363636363,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
2023,Sheo,BDS,Blue,Spring,41,Sejuani,113,22.0,19.0,2.0,7.0,1.0,68.0,305.0,88.0,21.0,82.0,11.0,9.363636363636363,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
2023,Sheo,BDS,Blue,Spring,41,Sejuani,113,22.0,19.0,1.0,17.0,0.0,68.0,305.0,88.0,21.0,82.0,11.0,9.363636363636363,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
2023,Xerxe,XL,Red,Spring,41,Sejuani,113,22.0,19.0,0.0,6.0,2.0,68.0,305.0,88.0,9.0,53.0,28.0,2.2142857142857144,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
2023,Xerxe,XL,Red,Winter,41,Sejuani,113,22.0,19.0,0.0,4.0,2.0,68.0,305.0,88.0,16.0,49.0,28.0,2.3214285714285716,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
