Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2022,Spring,Week 1,⁠⁠TSM,⁠⁠EG,⁠⁠TSM,12.2,Leblanc,Vex,Caitlyn,TahmKench,Akali,TwistedFate,Corki,Karma,Yuumi,Orianna,Impact,Gwen,Inspired,JarvanIV,jojopyun,Ryze,Danny,Zeri,Vulcan,Leona,Huni,Jayce,Spica,Poppy,Keaiduo,Viktor,Tactical,Senna,Shenyi,Rell
2022,Spring,Week 1,⁠⁠FLY,⁠⁠CLG,⁠⁠CLG,12.2,LeeSin,JarvanIV,Corki,Karma,Bard,TwistedFate,Zeri,Lulu,Ryze,Gangplank,Jenkins,Graves,Contractz,Trundle,Palafox,Viktor,Luger,Caitlyn,Poome,Lux,Kumo,Janna,Josedeodo,XinZhao,toucouille,Zoe,Johnsun,Jhin,aphromoo,Leona
2022,Spring,Week 1,⁠⁠TL,⁠⁠100,⁠⁠100,12.2,Karma,Ryze,Zeri,Leblanc,Gwen,TwistedFate,Corki,Caitlyn,Zilean,Graves,Bwipo,Renekton,Santorin,JarvanIV,Bjergsen,Orianna,Hans,Jinx,Eyla,Thresh,Ssumday,Ornn,Closer,XinZhao,Abbedagge,Azir,FBI,Aphelios,huhi,Leona
2022,Spring,Week 1,⁠⁠GG,⁠⁠C9,⁠⁠C9,12.2,Karma,Corki,TwistedFate,LeeSin,XinZhao,Thresh,Caitlyn,Zeri,JarvanIV,Zed,Licorice,Renekton,Pridestalkr,Qiyana,Ablazeolive,Viktor,Lost,Jhin,Olleh,Yuumi,Summit,Gnar,Blaber,Gwen,Fudge,Ivern,Berserker,Aphelios,Winsome,Sona
2022,Spring,Week 1,⁠⁠IMT,⁠⁠DIG,⁠⁠IMT,12.2,Jayce,Gwen,Thresh,Orianna,Viktor,Zeri,Renekton,Corki,TwistedFate,Ryze,FakeGod,Gragas,River,JarvanIV,Blue,Leblanc,Neo,Caitlyn,Biofrost,Lux,Revenge,Akali,Xerxe,XinZhao,PowerOfEvil,Vex,WildTurtle,Ezreal,Destiny,Karma
2022,Spring,Week 1,⁠⁠CLG,⁠⁠100,⁠⁠CLG,12.2,Graves,Janna,Karma,Thresh,Akali,Zeri,Caitlyn,Renekton,Poppy,JarvanIV,Ssumday,Gwen,Closer,XinZhao,Abbedagge,TwistedFate,FBI,Jhin,huhi,Sett,Jenkins,Kennen,Contractz,Diana,Palafox,Yasuo,Luger,Jinx,Poome,Lulu
2022,Spring,Week 1,⁠⁠TSM,⁠⁠DIG,⁠⁠DIG,12.2,Karma,Caitlyn,Corki,Renekton,XinZhao,TwistedFate,Jayce,Leblanc,Akali,Tryndamere,Huni,Graves,Spica,Poppy,Keaiduo,Ryze,Tactical,Zeri,Shenyi,Yuumi,FakeGod,Gwen,River,JarvanIV,Blue,Viktor,Neo,Aphelios,Biofrost,Thresh
2022,Spring,Week 1,⁠⁠EG,⁠⁠C9,⁠⁠EG,12.2,TwistedFate,Senna,Karma,Ryze,Renekton,Corki,Zeri,Caitlyn,Lulu,Ivern,Summit,Camille,Blaber,Olaf,Fudge,Soraka,Berserker,Aphelios,Winsome,Thresh,Impact,Tryndamere,Inspired,XinZhao,jojopyun,Viktor,Danny,Jinx,Vulcan,Leona
2022,Spring,Week 1,⁠⁠GG,⁠⁠FLY,⁠⁠GG,12.2,Ryze,Thresh,Qiyana,Jhin,Varus,Zeri,TwistedFate,Caitlyn,Viktor,Jayce,Kumo,Karma,Josedeodo,LeeSin,toucouille,Vex,Johnsun,Jinx,aphromoo,Braum,Licorice,Gwen,Pridestalkr,Zed,Ablazeolive,Corki,Lost,Aphelios,Olleh,Rakan
2022,Spring,Week 1,⁠⁠IMT,⁠⁠TL,⁠⁠TL,12.2,JarvanIV,TwistedFate,Caitlyn,Gwen,Renekton,Corki,Zeri,Karma,Irelia,Jayce,Revenge,Graves,Xerxe,Qiyana,PowerOfEvil,Viktor,WildTurtle,Aphelios,Destiny,Nautilus,Bwipo,Tryndamere,Santorin,XinZhao,Bjergsen,Zilean,Hans,Jinx,Eyla,Thresh
