Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2023,Winter,Week 1,⁠⁠G2,⁠⁠XL,⁠⁠XL,13.1,Sylas,Ryze,Yuumi,Akali,Gwen,Maokai,Caitlyn,Lucian,Jayce,Karma,Odoamne,KSante,Xerxe,MonkeyKing,Vetheo,Syndra,Patrik,Varus,Targamas,Jhin,BrokenBlade,Jax,Yike,Graves,Caps,Viktor,Hans,Ashe,Mikyx,Heimerdinger
2023,Winter,Week 1,⁠⁠KOI,⁠⁠BDS,⁠⁠KOI,13.1,Darius,Varus,MonkeyKing,Viktor,Viego,Lucian,Yuumi,Caitlyn,Zeri,Sivir,Szygenda,Renekton,Malrang,Sejuani,Larssen,Ryze,Comp,Ezreal,Trymbi,Ashe,Adam,Olaf,Sheo,Vi,nuc,Azir,Crownie,Jhin,Labrov,Heimerdinger
2023,Winter,Week 1,⁠⁠AST,⁠⁠TH,⁠⁠TH,13.1,Maokai,Heimerdinger,Yuumi,Renekton,Gnar,Caitlyn,Lucian,MonkeyKing,Ezreal,Zeri,Finn,Fiora,113,Viego,Dajor,Ryze,Kobbe,Xayah,JeongHoon,Ashe,Evi,KSante,Jankos,Vi,Ruby,Cassiopeia,Jackspektra,Varus,Mersa,Karma
2023,Winter,Week 1,⁠⁠SK,⁠⁠MAD,⁠⁠SK,13.1,Caitlyn,Akali,Jax,Syndra,Galio,Ryze,Maokai,Jayce,Lissandra,Gwen,Chasy,Renekton,Elyoya,MonkeyKing,Nisqy,Viktor,Carzzy,Lucian,Hylissang,Nami,Irrelevant,KSante,Markoon,Vi,Sertuss,Kassadin,Exakick,Zeri,Doss,Yuumi
2023,Winter,Week 1,⁠⁠FNC,⁠⁠VIT,⁠⁠FNC,13.1,Maokai,Zeri,Azir,Renata,Braum,Lucian,Yuumi,Heimerdinger,Karma,Fiora,Photon,Jax,Bo,Graves,Perkz,Ryze,Neon,Ezreal,Kaiser,Leona,Wunder,Gragas,Razork,Kindred,Humanoid,Syndra,Rekkles,Varus,rhuckz,Rakan
2023,Winter,Week 1,⁠⁠SK,⁠⁠BDS,⁠⁠BDS,13.1,MonkeyKing,Heimerdinger,Ryze,Lux,Olaf,Jax,Yuumi,Lucian,Maokai,Vi,Irrelevant,Gnar,Markoon,Kindred,Sertuss,Sylas,Exakick,Varus,Doss,Karma,Adam,Aatrox,Sheo,Sejuani,nuc,Akali,Crownie,Caitlyn,Labrov,Thresh
2023,Winter,Week 1,⁠⁠AST,⁠⁠MAD,⁠⁠MAD,13.1,Maokai,Heimerdinger,Yuumi,Nautilus,Karma,Caitlyn,Ryze,Lucian,Xayah,Ashe,Finn,KSante,113,Viego,Dajor,Syndra,Kobbe,Ezreal,JeongHoon,Bard,Chasy,Fiora,Elyoya,Sejuani,Nisqy,Akali,Carzzy,Varus,Hylissang,Thresh
2023,Winter,Week 1,⁠⁠VIT,⁠⁠TH,⁠⁠VIT,13.1,Maokai,Vi,Ryze,Renata,Cassiopeia,Lucian,Graves,Heimerdinger,Yuumi,Akali,Photon,Jax,Bo,Sejuani,Perkz,Azir,Neon,Zeri,Kaiser,Braum,Evi,KSante,Jankos,MonkeyKing,Ruby,Kassadin,Jackspektra,Kalista,Mersa,Nautilus
2023,Winter,Week 1,⁠⁠XL,⁠⁠KOI,⁠⁠KOI,13.1,Caitlyn,Sejuani,Jax,KSante,Azir,Ornn,Ryze,Syndra,MonkeyKing,Viktor,Odoamne,Renekton,Xerxe,Vi,Vetheo,Ahri,Patrik,Lucian,Targamas,Nami,Szygenda,Aatrox,Malrang,Maokai,Larssen,Kassadin,Comp,Kalista,Trymbi,Soraka
2023,Winter,Week 1,⁠⁠G2,⁠⁠FNC,⁠⁠FNC,13.1,Heimerdinger,Lucian,Caitlyn,Vi,Kassadin,Maokai,Varus,Ryze,Jayce,Gangplank,Wunder,KSante,Razork,Sejuani,Humanoid,Azir,Rekkles,Zeri,rhuckz,Yuumi,BrokenBlade,Jax,Yike,Viego,Caps,Akali,Hans,Draven,Mikyx,Nautilus
2023,Winter,Week 1,⁠⁠SK,⁠⁠TH,⁠⁠TH,13.1,Heimerdinger,Jax,Sivir,Soraka,Renekton,Ryze,Lucian,Yuumi,Cassiopeia,Kassadin,Evi,KSante,Jankos,Maokai,Ruby,Azir,Jackspektra,Varus,Mersa,Lulu,Irrelevant,Camille,Markoon,Sejuani,Sertuss,Sylas,Exakick,Zeri,Doss,Renata
2023,Winter,Week 1,⁠⁠XL,⁠⁠BDS,⁠⁠BDS,13.1,Syndra,Yuumi,Heimerdinger,Jayce,Gnar,Ryze,Lucian,Sylas,Renekton,Kassadin,Adam,Darius,Sheo,Sejuani,nuc,Akali,Crownie,Caitlyn,Labrov,Lux,Odoamne,Jax,Xerxe,Maokai,Vetheo,TwistedFate,Patrik,Varus,Targamas,Karma
2023,Winter,Week 1,⁠⁠G2,⁠⁠AST,⁠⁠G2,13.1,Lucian,Maokai,Yuumi,Jax,Irelia,Heimerdinger,Ryze,Graves,Azir,Viktor,BrokenBlade,Karma,Yike,Kindred,Caps,Zac,Hans,Varus,Mikyx,Ashe,Finn,Aatrox,113,Sejuani,Dajor,Sylas,Kobbe,Caitlyn,JeongHoon,Lux
2023,Winter,Week 1,⁠⁠FNC,⁠⁠KOI,⁠⁠KOI,13.1,Varus,Kassadin,Yuumi,Viktor,Orianna,Lucian,Heimerdinger,Caitlyn,Nautilus,Amumu,Szygenda,Jax,Malrang,Sejuani,Larssen,Ryze,Comp,Jhin,Trymbi,Rakan,Wunder,Gragas,Razork,Maokai,Humanoid,Jayce,Rekkles,Sivir,rhuckz,Ashe
2023,Winter,Week 1,⁠⁠MAD,⁠⁠VIT,⁠⁠VIT,13.1,Jax,Sejuani,Ashe,Syndra,Gwen,Maokai,Ryze,Yuumi,Renekton,Kassadin,Chasy,Gnar,Elyoya,MonkeyKing,Nisqy,Viktor,Carzzy,Lucian,Hylissang,Lulu,Photon,KSante,Bo,Vi,Perkz,Azir,Neon,Ezreal,Kaiser,Nami
2023,Winter,Week 2,⁠⁠AST,⁠⁠VIT,⁠⁠AST,13.1,Sejuani,Lucian,Ashe,Sylas,AurelionSol,Ryze,Jax,Azir,Jayce,Fiora,Photon,Gnar,Bo,Maokai,Perkz,Syndra,Neon,Caitlyn,Kaiser,Lux,Finn,KSante,113,Viego,Dajor,TwistedFate,Kobbe,Zeri,JeongHoon,Yuumi
2023,Winter,Week 2,⁠⁠FNC,⁠⁠BDS,⁠⁠BDS,13.1,Caitlyn,Lucian,Sejuani,Kassadin,Nautilus,Ryze,Yuumi,Maokai,Vi,Kindred,Wunder,KSante,Razork,Viego,Humanoid,Azir,Rekkles,Ezreal,rhuckz,Ashe,Adam,Olaf,Sheo,MonkeyKing,nuc,Viktor,Crownie,Varus,Labrov,Heimerdinger
2023,Winter,Week 2,⁠⁠KOI,⁠⁠TH,⁠⁠KOI,13.1,Caitlyn,Maokai,Kalista,Jax,Renekton,Ashe,Sejuani,Ryze,MonkeyKing,Viego,Evi,KSante,Jankos,Graves,Ruby,Azir,Jackspektra,Lucian,Mersa,Nami,Szygenda,Fiora,Malrang,Elise,Larssen,Viktor,Comp,Sivir,Trymbi,Yuumi
2023,Winter,Week 2,⁠⁠G2,⁠⁠SK,⁠⁠G2,13.1,Heimerdinger,Ryze,Ashe,Gwen,Karma,Maokai,Jax,Lucian,Sylas,Kassadin,Irrelevant,Sion,Markoon,Elise,Sertuss,Azir,Exakick,Sivir,Doss,Yuumi,BrokenBlade,KSante,Yike,Graves,Caps,Akali,Hans,Varus,Mikyx,Lulu
2023,Winter,Week 2,⁠⁠XL,⁠⁠MAD,⁠⁠XL,13.1,Caitlyn,Ashe,Heimerdinger,Sylas,Kassadin,Ryze,Lucian,Kalista,Jax,Jayce,Chasy,KSante,Elyoya,Maokai,Nisqy,Azir,Carzzy,Sivir,Hylissang,Lulu,Odoamne,Gwen,Xerxe,MonkeyKing,Vetheo,Akali,Patrik,Zeri,Targamas,Yuumi
2023,Winter,Week 2,⁠⁠AST,⁠⁠BDS,⁠⁠BDS,13.1,Maokai,Sejuani,Varus,Olaf,Darius,Ryze,Lucian,Yuumi,Fiora,Gnar,Finn,KSante,113,JarvanIV,Dajor,Syndra,Kobbe,Caitlyn,JeongHoon,Ashe,Adam,Jax,Sheo,MonkeyKing,nuc,Sylas,Crownie,Jhin,Labrov,Heimerdinger
2023,Winter,Week 2,⁠⁠SK,⁠⁠VIT,⁠⁠VIT,13.1,Jax,Ashe,Lucian,Azir,Viktor,Graves,Ryze,Varus,Jayce,KSante,Photon,Ornn,Bo,Maokai,Perkz,Tristana,Neon,Sivir,Kaiser,Yuumi,Irrelevant,Renekton,Markoon,Elise,Sertuss,Syndra,Exakick,Zeri,Doss,Lulu
2023,Winter,Week 2,⁠⁠G2,⁠⁠TH,⁠⁠TH,13.1,Caitlyn,Ashe,Heimerdinger,Sejuani,Viego,Yuumi,Maokai,Ryze,Renekton,Azir,Evi,KSante,Jankos,Elise,Ruby,Viktor,Jackspektra,Lucian,Mersa,Nami,BrokenBlade,Jax,Yike,Belveth,Caps,TwistedFate,Hans,Draven,Mikyx,Nautilus
2023,Winter,Week 2,⁠⁠FNC,⁠⁠XL,⁠⁠XL,13.1,Ryze,Ashe,Sejuani,KSante,Syndra,Heimerdinger,Yuumi,Maokai,Jax,Ornn,Odoamne,Renekton,Xerxe,Vi,Vetheo,Sylas,Patrik,Lucian,Targamas,Nami,Wunder,Gnar,Razork,MonkeyKing,Humanoid,Kassadin,Rekkles,Varus,rhuckz,Nautilus
